id,candidate_id,candidate_number,external_job_id,response,responded_at,created_at,updated_at,stale_reason
cmquy88fi000b1dpqpjdhg4n4,cmqrw5dyh00541doxmsguaj5g,5008117,7810,INTERESTED,2026-06-26T13:10:27.774Z,2026-06-26T13:10:27.246Z,2026-06-26T13:10:27.820Z,CLEARED(PENDING)
cmqvx6blo003l1dt97rr59wkw,cmqhpzjxt00in1dqvq44chr0k,5008091,7643,INTERESTED,2026-06-27T05:28:45.577Z,2026-06-27T05:28:44.604Z,2026-06-27T05:28:45.619Z,EXCLUDED
cmr02tf2z000l1dp4wqv25qyl,cmqsmra3300001dmxfa8fukjo,5008119,8000,INTERESTED,2026-07-02T03:27:37.266Z,2026-06-30T03:17:44.987Z,2026-07-02T03:27:39.549Z,EXCLUDED
cmr2xyzfy005p1dqlgfznd4in,cmqsmra3300001dmxfa8fukjo,5008119,8001,INTERESTED,2026-07-02T03:27:37.266Z,2026-07-02T03:25:25.102Z,2026-07-02T03:27:39.678Z,EXCLUDED
cmr2xz2og005r1dqlv37puyca,cmqsmra3300001dmxfa8fukjo,5008119,8002,INTERESTED,2026-07-02T03:27:37.266Z,2026-07-02T03:25:29.296Z,2026-07-02T03:27:39.788Z,EXCLUDED
cmr0lu05j007j1dphko0ezlrf,cmq7f0n6p002r1dtd9vmvt3z2,5008054,7894,INTERESTED,2026-06-30T12:10:05.254Z,2026-06-30T12:10:04.999Z,2026-06-30T12:10:05.273Z,CLEARED(UNANSWERED)
cmr0luhf2007m1dphf096uiml,cmq7f0n6p002r1dtd9vmvt3z2,5008054,7903,WANT_TO_APPLY,2026-06-30T12:17:00.026Z,2026-06-30T12:10:27.374Z,2026-06-30T12:17:00.067Z,CLEARED(UNANSWERED)
cmr0lttcl007h1dph7uoasu92,cmq7f0n6p002r1dtd9vmvt3z2,5008054,7891,WANT_TO_APPLY,2026-06-30T12:17:36.057Z,2026-06-30T12:09:56.181Z,2026-06-30T12:17:36.075Z,CLEARED(UNANSWERED)
cmr1tsdzs003i1dp4omj51qbf,cmqvztrlr005n1dt9oyht94b3,5008137,8081,INTERESTED,2026-07-01T08:40:33.659Z,2026-07-01T08:40:32.728Z,2026-07-01T08:40:33.677Z,CLEARED(UNANSWERED)
cmr37pq5200ag1dqlxlmonvbu,cmqvztrlr005n1dt9oyht94b3,5008137,8083,INTERESTED,2026-07-02T08:08:40.286Z,2026-07-02T07:58:09.302Z,2026-07-02T08:12:53.739Z,CLEARED(UNANSWERED)
cmr381kax00ay1dqlk6xe356h,cmqvztrlr005n1dt9oyht94b3,5008137,8093,INTERESTED,2026-07-02T08:08:40.286Z,2026-07-02T08:07:21.609Z,2026-07-02T08:15:00.035Z,CLEARED(PENDING)
cmr3860pf00b01dqlrzt6ro8n,cmqvztrlr005n1dt9oyht94b3,5008137,8167,INTERESTED,2026-07-02T08:08:40.286Z,2026-07-02T08:10:49.491Z,2026-07-02T08:15:00.348Z,CLEARED(UNANSWERED)
cmr4ayvj9003m1dphr7ox2hz4,cmqvztrlr005n1dt9oyht94b3,5008137,8089,INTERESTED,2026-07-03T02:17:01.992Z,2026-07-03T02:17:01.221Z,2026-07-03T02:17:02.044Z,CLEARED(UNANSWERED)
