id,source_type,file_name_before
cmqyspuio001h1dqivomuz4ac,job-platform,"求人票_エム・シー・ヘルスケア株式会社(医療現場を支える総合ソリューション企業).pdf"
cmqywk5hx00191dp9emdqe3o9,job-platform,"求人票_株式会社MTG〜『ReFa』『SIXPAD(シックスパッ.pdf"
